nombre,codigoBarras,unidad,precio,costo,iva,stockMinimo,stockMaximo,ubicacion,categoria,generico,descuentoDia,porcentajeDescuento,inicioDescuentoDia,finDescuentoDia,promoCantidadRequerida,inicioPromoCantidad,finPromoCantidad,porcentaje,inicio,fin,descuentoINAPAM,lote1,fechaCaducidad1,cantidad1,lote2,fechaCaducidad2,cantidad2,proveedor,farmacia,imagen
Amoxicilina 250 mg / Acido Clavulanico 62.5 mg / 5 mL CLAMOXIN C/60 mL,7.50201E+12,PZA,64,35,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,18/05/2025,22/11/2025,,,,,,,FALSE,abc28,31/12/2026,1972,hgi16,31/12/2027,3028,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Amoxicilina 250 mg / Acido Clavulanico 62.5 mg / 5 mL CLAVIPEN C/60 mL,7.50201E+12,PZA,64,34.1,FALSE,20,5000,,ANTIBIOTICO,TRUE,4,14,04/05/2025,22/12/2025,,,,,,,FALSE,abc29,31/12/2026,737,hgi17,31/12/2027,4263,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 400 mg / Acido Clavulanico 57 mg / 5 mL CLAMOXIN 12 H Junior C/50 mL,7.50201E+12,PZA,61,29.76,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,13,30/12/2025,31/12/2025,,,,,,,FALSE,abc30,31/12/2026,902,hgi18,31/12/2027,4098,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg / Acido Clavulanico 125 mg CLAVIPEN C/10 Tabs,7.50221E+12,PZA,88,26.92,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,12,07/05/2025,28/06/2025,,,,,,,FALSE,abc31,31/12/2026,1423,hgi19,31/12/2027,3577,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg / Acido Clavulanico 125 mg CLAMOXIN C/12 Tabs,7.50201E+12,PZA,102,40.8,FALSE,20,5000,,ANTIBIOTICO,TRUE,4,9,13/09/2025,18/09/2025,,,,,,,FALSE,abc32,31/12/2026,924,hgi20,31/12/2027,4076,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg / Acido Clavulanico 125 mg CLAVIPEN C/15 Tabs,7.50221E+12,PZA,105,46.71,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,7,15/02/2025,30/03/2025,,,,,,,FALSE,abc33,31/12/2026,272,hgi21,31/12/2027,4728,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 600 mg / Acido Clavulanico 42.9 mg / 5mL CLAMOXIN S C/50 mL,7.50201E+12,PZA,84,48.5,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,6,16/10/2025,09/12/2025,,,,,,,FALSE,abc34,31/12/2026,402,hgi22,31/12/2027,4598,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 875 mg / Acido Clavulanico 125 mg CLAMOXIN 12H C/10 Tabs,7.50201E+12,PZA,85,55,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,7,07/05/2025,14/09/2025,,,,,,,FALSE,abc35,31/12/2026,391,hgi23,31/12/2027,4609,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 875 mg / Acido Clavulanico 125 mg CLAVIPEN 12H C/10 Tabs,7.50221E+12,PZA,85,34.82,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,13,07/01/2025,14/05/2025,,,,,,,FALSE,abc36,31/12/2026,153,hgi24,31/12/2027,4847,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 875 mg / Acido Clavulanico 125 mgCLAMOXIN 12H C/14 Tabs,7.50201E+12,PZA,106,69.01,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,13,27/07/2025,05/10/2025,,,,,,,FALSE,abc37,31/12/2026,65,hgi25,31/12/2027,4935,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 250 mg / Ambroxol 15 mg VANMOXOL C/90 mL,7.503E+12,PZA,32,18.61,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,5,03/01/2025,14/07/2025,,,,,,,FALSE,abc38,31/12/2026,1597,hgi26,31/12/2027,3403,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg / Ambroxol 30 mg VANMOXOL C/12 Caps,7.503E+12,PZA,52,19.85,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,6,07/10/2025,10/11/2025,,,,,,,FALSE,abc39,31/12/2026,1629,hgi27,31/12/2027,3371,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 250 mg / Bromhexina 8 mg / 5 mL ACROXIL-C C/60 mL,7.502E+12,PZA,44,24.17,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,19,14/12/2025,18/12/2025,,,,,,,FALSE,abc40,31/12/2026,589,hgi28,31/12/2027,4411,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg / Bromhexina 8 mg mg ACROXIL-C C/12 Caps,7.502E+12,PZA,36,24.5,FALSE,20,5000,,ANTIBIOTICO,FALSE,1,25,23/11/2025,27/12/2025,,,,,,,FALSE,abc41,31/12/2026,1021,hgi29,31/12/2027,3979,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ampicilina 125 mg / 5 mL MEXAPIN C/60 mL,7.503E+12,PZA,28,13.08,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,16,14/07/2025,03/11/2025,,,,,,,FALSE,abc42,31/12/2026,601,hgi30,31/12/2027,4399,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ampicilina 250 mg / 5 m MEXAPIN C/60 mL,7.503E+12,PZA,41,16.31,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,12,07/11/2025,18/12/2025,,,,,,,FALSE,abc43,31/12/2026,214,hgi31,31/12/2027,4786,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ampicilina 250 mg / Metamizol 200 mg / Guaifenesina 100 mg / Lidocaina 30 mg / Clorfenamina 2 mg AMPIGRIN INFANTIL C/3 Amp,7.80083E+11,PZA,116,61.12,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,17,12/04/2025,03/10/2025,,,,,,,TRUE,abc44,31/12/2026,1600,hgi32,31/12/2027,3400,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ampicilina 250 mg / Metamizol 200 mg / Guaifenesina 100 mg / Lidocaina 30 mg / Clorfenamina 2 mg LAUR INFANTIL C/3 Amp,7.502E+12,PZA,82,46.8,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,9,19/12/2025,27/12/2025,,,,,,,FALSE,abc45,31/12/2026,1161,hgi33,31/12/2027,3839,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ampicilina 500 mg AMSA C/1 Amp,7.50135E+12,PZA,36,16.33,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,11,16/04/2025,08/08/2025,,,,,,,FALSE,abc46,31/12/2026,1368,hgi34,31/12/2027,3632,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ampicilina 500 mg / 5mL MEXAPIN C/60 mL,7.503E+12,PZA,41,22.31,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,12,29/04/2025,18/10/2025,,,,,,,FALSE,abc47,31/12/2026,678,hgi35,31/12/2027,4322,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ampicilina 500 mg AMSA C/20 Tabs,7.50135E+12,PZA,41,26.59,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,9,01/04/2025,16/06/2025,,,,,,,FALSE,abc48,31/12/2026,1505,hgi36,31/12/2027,3495,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Ampicilina 500 mg / Metamizol 500 mg / Guaifenesina 100 mg / Lidocaina 30 mg / Clorfenamina 4 mg AMPIGRIN Adulto C/3 Amp,7.80083E+11,PZA,129,64.21,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,15/07/2025,22/07/2025,,,,,,,FALSE,abc49,31/12/2026,1322,hgi37,31/12/2027,3678,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ampicilina 500 mg / Metamizol 500 mg / Guaifenesina 100 mg / Lidocaina 30 mg / Clorfenamina 4 mg LAUR Adulto C/3 Amp,7.502E+12,PZA,94,16.9,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,19,22/09/2025,26/11/2025,,,,,,,FALSE,abc50,31/12/2026,14,hgi38,31/12/2027,4986,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Ampicilina 1 g AMSA C/1 Amp,7.50135E+12,PZA,32,21.82,FALSE,20,5000,,ANTIBIOTICO,FALSE,2,10,08/03/2025,10/11/2025,,,,,,,FALSE,abc51,31/12/2026,419,hgi39,31/12/2027,4581,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ampicilina 1 g AMSA C/10 Tabs ,7.50135E+12,PZA,38,23.65,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,18,31/08/2025,22/09/2025,,,,,,,FALSE,abc52,31/12/2026,923,hgi40,31/12/2027,4077,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Azitromicina 200 mg / 5 mL SERRAL C/15 mL,7.50126E+12,PZA,104,64.42,FALSE,20,5000,,ANTIBIOTICO,FALSE,6,6,04/04/2025,20/12/2025,,,,,,,FALSE,abc53,31/12/2026,1178,hgi41,31/12/2027,3822,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Azitromicina 500 mg CHARYN C/3 Tabs,7.50224E+12,PZA,78,20.94,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,12,08/10/2025,15/10/2025,,,,,,,FALSE,abc54,31/12/2026,1626,hgi42,31/12/2027,3374,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Bencilpenicilina 400 000 ui PENIPOT C/1 Amp,7.50135E+12,PZA,21,14.66,FALSE,20,5000,,ANTIBIOTICO,FALSE,4,6,14/01/2025,30/11/2025,,,,,,,FALSE,abc55,31/12/2026,346,hgi43,31/12/2027,4654,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Bencilpenicilina 800 000 UI PENIPOT C/1 Amp,7.50135E+12,PZA,23,16.35,FALSE,20,5000,,ANTIBIOTICO,FALSE,5,17,22/12/2025,25/12/2025,,,,,,,FALSE,cba1,31/12/2026,1724,hgi44,31/12/2027,3276,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Bencilpenicilina 1 000 000 ui AMSA C/1 Amp,7.50135E+12,PZA,25,18.66,FALSE,20,5000,,ANTIBIOTICO,FALSE,4,20,17/06/2025,28/10/2025,,,,,,,FALSE,cba2,31/12/2026,1541,hgi45,31/12/2027,3459,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Bencilpenicilina 1 200 000 ui AMSA C/1 Amp,7.50135E+12,PZA,29,18.63,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,16,17/11/2025,17/12/2025,,,,,,,FALSE,cba3,31/12/2026,1296,hgi46,31/12/2027,3704,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Cefaclor 125 mg / 5 mL FASICLOR C/50 mL,7.50201E+12,PZA,82,43.32,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,20,06/08/2025,19/10/2025,,,,,,,FALSE,cba4,31/12/2026,1270,hgi47,31/12/2027,3730,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefaclor 250 mg / 5 mL FASICLOR C/50 mL,7.50201E+12,PZA,118,69.89,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,5,09/05/2025,03/09/2025,,,,,,,FALSE,cba5,31/12/2026,1302,hgi48,31/12/2027,3698,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefaclor 250 mg FASICLOR C/15 Caps ,7.50201E+12,PZA,106,75.31,FALSE,20,5000,,ANTIBIOTICO,FALSE,1,25,09/07/2025,27/10/2025,,,,,,,FALSE,cba6,31/12/2026,924,hgi49,31/12/2027,4076,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefaclor 375 mg / 5 mL FASICLOR C/50 mL,7.50201E+12,PZA,136,43.41,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,23/10/2025,04/12/2025,,,,,,,FALSE,cba7,31/12/2026,690,hgi50,31/12/2027,4310,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefaclor 500 mg FASICLOR C/15 Caps ,7.50201E+12,PZA,186,81.17,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,19,25/04/2025,27/12/2025,,,,,,,FALSE,cba8,31/12/2026,1028,hgi51,31/12/2027,3972,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefalexina 125 mg / 5 mL CEFALVER C/90 mL,7.503E+12,PZA,42,25.2,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,14,01/12/2025,15/12/2025,,,,,,,FALSE,cba9,31/12/2026,1593,hgi52,31/12/2027,3407,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefalexina 250 mg / 5 mL CEFALVER C/90 mL,7.503E+12,PZA,62,33.34,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,16,19/05/2025,18/07/2025,,,,,,,FALSE,cba10,31/12/2026,52,hgi53,31/12/2027,4948,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefalexina 500 mg NIXELAF-C C/20 Caps,7.50221E+12,PZA,74,48.58,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,15,07/07/2025,20/11/2025,,,,,,,FALSE,cba11,31/12/2026,1218,hgi54,31/12/2027,3782,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefalexina 500 mg MAVER C/20 Caps,7.50201E+12,PZA,74,42.5,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,07/03/2025,12/11/2025,,,,,,,TRUE,cba12,31/12/2026,557,hgi55,31/12/2027,4443,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefalexina 1 g CEFALVER C/12 Tabs,7.50221E+12,PZA,89,62.4,FALSE,20,5000,,ANTIBIOTICO,FALSE,4,18,11/02/2025,25/03/2025,,,,,,,TRUE,cba13,31/12/2026,1579,hgi56,31/12/2027,3421,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefalexina 250 mg / Ambroxol 15 mg / 5 mL CEFABROXIL C/75 mL,7.50201E+12,PZA,66,32.39,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,6,13/02/2025,01/09/2025,,,,,,,FALSE,cba14,31/12/2026,214,hgi57,31/12/2027,4784,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefalexina 500 mg / Ambroxol 30 mg CEFABROXIL C/15 Tabs,7.50201E+12,PZA,66,24.9,FALSE,20,5000,,ANTIBIOTICO,TRUE,4,9,24/03/2025,19/07/2025,,,,,,,TRUE,cba15,31/12/2026,191,hgi58,31/12/2027,4809,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefalexina 250 mg / Bromhexina 4.39 mg / 5 mL CEPOBROM C/100 mL,7.50201E+12,PZA,66,25.57,FALSE,20,5000,,ANTIBIOTICO,FALSE,1,25,02/03/2025,17/12/2025,,,,,,,FALSE,cba16,31/12/2026,505,hgi59,31/12/2027,4495,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefalexina 500 mg / Bromhexina 8.782 mg CEPOBROM C/12 Caps,7.50201E+12,PZA,66,44.4,FALSE,20,5000,,ANTIBIOTICO,FALSE,6,12,14/11/2025,09/12/2025,,,,,,,FALSE,cba17,31/12/2026,1108,hgi60,31/12/2027,3892,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefalotina 1 g AMSA C/1 Amp,7.50135E+12,PZA,59,48.8,FALSE,20,5000,,ANTIBIOTICO,FALSE,2,10,04/11/2025,01/12/2025,,,,,,,FALSE,cba18,31/12/2026,1703,hgi61,31/12/2027,3297,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefixima 100 mg / 5 mL BENEVENTOL C/50 mL,7.50201E+12,PZA,142,92.73,FALSE,20,5000,,ANTIBIOTICO,FALSE,6,11,19/10/2025,12/12/2025,,,,,,,FALSE,cba19,31/12/2026,1937,hgi62,31/12/2027,3063,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefixima 400 mg BENEVENTOL C/3 Caps,7.50201E+12,PZA,128,67.5,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,6,25/01/2025,09/08/2025,,,,,,,FALSE,cba20,31/12/2026,658,hgi63,31/12/2027,4342,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Cefixima 400 mg BENEVENTOL C/6 Caps,7.50201E+12,PZA,196,103.73,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,9,20/06/2025,28/09/2025,,,,,,,FALSE,cba21,31/12/2026,1756,hgi64,31/12/2027,3244,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Cefotaxima 500 mg / 2 mL AMSA C/1 Amp,7.50135E+12,PZA,46,23.53,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,8,30/04/2025,19/08/2025,,,,,,,FALSE,cba22,31/12/2026,1689,hgi65,31/12/2027,3311,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefotaxima 1 g / 4 mL AMSA C/1 Amp,7.50135E+12,PZA,46,25.35,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,10,27/11/2025,07/12/2025,,,,,,,FALSE,cba23,31/12/2026,1812,hgi66,31/12/2027,3188,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Cefotaxima 1 g / 4 mL AMSA INTRAVENOSA C/1 Amp,7.50135E+12,PZA,72,30,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,11,13/05/2025,25/10/2025,,,,,,,FALSE,cba24,31/12/2026,1105,hgi67,31/12/2027,3895,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
CEFTAZIDIMA 1 GR / 3 ML ZIDIMASENSI SOL INY C/1 AMP,7.50602E+12,PZA,68,39.73,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,20,25/05/2025,01/12/2025,,,,,,,FALSE,cba25,31/12/2026,914,hgi68,31/12/2027,4086,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ceftazidima 1 g / 3 mL AMSA C/1 Amp,7.50135E+12,PZA,98,39.99,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,12,02/05/2025,13/09/2025,,,,,,,FALSE,cba26,31/12/2026,1389,hgi69,31/12/2027,3611,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ceftibuteno 400 mg DEXAL C/5 Caps,7.50201E+12,PZA,319,206.4,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,8,05/05/2025,20/10/2025,,,,,,,FALSE,cba27,31/12/2026,1711,hgi70,31/12/2027,3289,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Ceftriaxona 500 mg / 2 mL TRIXONA IM  C/1 Amp,7.50221E+12,PZA,49,20.66,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,19,07/10/2025,27/10/2025,,,,,,,FALSE,cba28,31/12/2026,1034,hgi71,31/12/2027,3966,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ceftriaxona 1 g / 3.5 mL BRULUAGSA C/1 Amp,7.50221E+12,PZA,52,19.21,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,19,29/07/2025,26/09/2025,,,,,,,FALSE,cba29,31/12/2026,952,hgi72,31/12/2027,4048,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ceftriaxona 1 g / 3.5 mL TRIXONA IM  C/1 Amp,7.50221E+12,PZA,62,25.2,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,28/01/2025,29/05/2025,,,,,,,FALSE,cba30,31/12/2026,1517,hgi73,31/12/2027,3483,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Ceftriaxona 1 g / 3.5 mL AMCEF IM  C/1 Amp,7.50135E+12,PZA,52,17.63,FALSE,20,5000,,ANTIBIOTICO,TRUE,3,15,02/01/2025,01/08/2025,,,,,,,FALSE,cba31,31/12/2026,983,hgi74,31/12/2027,4017,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Cefuroxima 125 mg / 5 mL CEFAGEN Pediatrico C/50 mL,7.50201E+12,PZA,94,51.6,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,5,09/11/2025,27/12/2025,,,,,,,FALSE,cba32,31/12/2026,1020,hgi75,31/12/2027,3980,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefuroxima 250 mg / 5 mL CEFAGEN C/50 mL  ,7.50201E+12,PZA,116,63.75,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,8,13/02/2025,03/07/2025,,,,,,,FALSE,cba33,31/12/2026,571,hgi76,31/12/2027,4429,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Cefuroxima 250 mg CEFAGEN C/10 Tabs,7.50201E+12,PZA,142,82.8,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,29/10/2025,17/12/2025,,,,,,,FALSE,cba34,31/12/2026,727,hgi77,31/12/2027,4273,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Cefuroxima 500 mg CEFAGEN C/10 Tabs,7.50201E+12,PZA,195,138.8,FALSE,20,5000,,ANTIBIOTICO,FALSE,5,14,28/11/2025,16/12/2025,,,,,,,FALSE,cba35,31/12/2026,625,hgi78,31/12/2027,4375,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
Cefuroxima 750 mg / 5 mL AMSA C/1 Amp,7.50113E+12,PZA,68,35.62,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,15,01/11/2025,04/11/2025,,,,,,,FALSE,cba36,31/12/2026,382,hgi79,31/12/2027,4618,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
